Profile Id,Opportunity Id,Opportunity Name,Opportunity Category,Opportunity End Date,Gender,City,Country,Current Student Status,Current/Intended Major,Status Description,Opportunity Start Date,Reward Amount,Badge Name,Skill Points Earned,Skills Earned
059a9813-e79e-4dd4-9e7f-4da6cc014a56,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Chennai,India,Graduate Program Student,Data Science,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
05a3d544-d4ec-46b3-b804-95ae0ee0029e,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Accra,Ghana,Not in Education,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
05f538a9-22bd-4682-8788-1dd643b52b2b,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Chicago,United States,Undergraduate Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
05fe99b5-1bae-4ba5-8c71-ada583013db2,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Guntur,India,Undergraduate Student,Electronics and Communication,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
06963424-9cd8-4df4-95bb-2b07a0da586a,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,StLouis,United States,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
073e8b1b-feec-49ba-b043-2d524fc3267d,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,new dameitta,Egypt,Undergraduate Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
07b2cc2f-d341-4e5d-b8a9-ce17b7ee87df,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Orlando,United States,High School Student,Computer Science,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
07b572de-56a1-4218-88aa-0f3e3bb211b3,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Hyderabad,India,Graduate Program Student,Computer Science,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0812c9d9-db84-40fe-a412-922992381884,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Peoria,United States,High School Student,Computer Science and Information Systems,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
08790449-0b90-4cb3-8628-fb287df86d1f,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,St Louis,United States,Graduate Program Student,Others,Rewards Award,2022-11-03 18:30:39,200,Career Essentials: Getting Started with Your Professional Journey,137,"[""Critical Thinking"",""Creative Thinking"",""Communication"",""Technology Literacy"",""Initiative""]"
088df798-eae8-40f1-8b16-6f51f7025904,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Astana,Kazakhstan,Undergraduate Student,Others,Rewards Award,2022-11-03 18:30:39,200,Career Essentials: Getting Started with Your Professional Journey,137,"[""Critical Thinking"",""Creative Thinking"",""Communication"",""Technology Literacy"",""Initiative""]"
0892211d-f230-4b5d-b994-bfde996351ea,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Chicago,United States,Graduate Program Student,Computer Science,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0950b2c8-6418-4e83-adf0-d27beb4a676d,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Saharanpur,India,High School Student,Other,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
09a7e150-63a5-4761-a99e-1074638f0b3c,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Sunyani,Ghana,Graduate Program Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
09a9f6aa-26a5-4122-9f00-7ade4e93c991,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Hyderabad,India,Undergraduate Student,Computer Science and Engineering,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
09c1b03d-4ac8-44ed-894b-e8201cd7765f,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Murshidabad,India,Not in Education,Data Science,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0a317b30-57ee-4a9a-bc83-40c3e4efd7a9,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Lahore,Pakistan,High School Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0a3517c1-6c3c-4d3d-be89-ee0dec1e1fc7,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Kondapuram,India,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0ac8bdce-1beb-452f-8f3c-5d689d1edf4c,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Guercif,Morocco,High School Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0b6308f1-fd19-4cf6-b444-411d9ba21775,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Kitwe,Zambia,Undergraduate Student,Others,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0b86f20d-c7a3-441a-8536-a7d181bb05ad,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Nizamabad,India,Graduate Program Student,Others,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0baad8a6-31e8-44e9-8754-f0019a9c774c,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Female,Accra,Ghana,Undergraduate Student,Business Administration,Started,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0c944137-f124-4927-8aeb-a0fa40e6acdf,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Saint Louis,United States,Graduate Program Student,Information Systems,Team Allocated,2022-11-03 18:30:39,0,Not Given,0,No Skills Earned
0ccc2391-d298-4ae9-9b53-4f2206a4bfb9,00000000-0GN2-A0AY-7XK8-C5FZPP,Career Essentials: Getting Started with Your Professional Journey,Course,2023-12-30 18:52:39,Male,Saint Louis,United States,Graduate Program Student,Others,Rewards Award,2022-11-03 18:30:39,200,Career Essentials: Getting Started with Your Professional Journey,137,"[""Critical Thinking"",""Creative Thinking"",""Communication"",""Technology Literacy"",""Initiative""]"
